C31TLT,JN02TL,Y,Expedition,144:  4x24el  2x4CX250  900W,08/01
C56EME,IK13ql,Y,,,
C6AIE,FL16IQ,Y,,144: TS2000 250W 13el,03/06
C91CF,KG64HB,Y,EXPEDITION,,04/08
CN8KD,IM63KX,N,,144: 10W  11el,06/03
CN8LI,IM63NX,Y,,50: IC746 250W 6el - 144: 2x17elts- 250w- lna- 1/2' lowloss cable- Az+Elevat,10/07
CN8ST,IM64NA,Y,QRT (is nw PA....),,06/98
CN8TW,IM63EN,Y,,144: 4x 13el,01/06
CO2OJ,EL83TD,N,,50: 100W 4el - 144: 110W 9el,06/06
CQ14HZE,IM57NH,N,SpecialCall,,02/04
CS0DIZ,IM69,N,SpecialCall,,01/89
CS1GDX,IM59IB,N,SpecialCall,144: IC706MK II G  200W  12el,11/03
CS6ARC,IM59RX,N,SpecialCall,,11/01
CT1ANO,IN51RE,N,,144: TS2000 4cx250B 1x16JXX2 SP 2000,06/09
CT1BYM,IM58SM,Y,,,05/07
CT1DHM,IN61CB,Y,,,04/07
CT1DIZ,IM58KP,N,,,06/03
CT1DMK,IN50QP,Y,,144: 1-5KW  4x11el DL6WU,03/99
CT1DNF,IN50QP,N,,144: IC821H  200Watts  2x12ele DL6WU Preamp,12/04
CT1EKD,IM59IB,Y,,144: IC706 MK II G  400W  4 x 17 el  432: 300W + 10wl Yagi,08/08
CT1EWA,IM59NS,Y,,,06/09
CT1FAK,IN50QO,Y,,144: FT1000D  FT736R  200W  4x13el DL6WU  MGF1302,05/03
CT1FFU,IM59KJ,Y,,,03/05
CT1FJC,IM57OC,N,,TS-2000 5el yagi 6 metres. 4el yagi on 4metres,03/07
CT1FOH,IN50RA,N,,50: 6el - 144: 200W 4x 12el MGF1302,04/04
CT1HZE,IM57NH,N,,,12/05
CT1WW,IN61GE,N,SilentKey,,11/96
CT2FEY,IN61OT,N,,,07/07
CT2GUR,IM59ML,Y,,IC-910H+ 2x17el+LNA+1KW,06/09
CT2HSN,IN61CB,N,,,03/07
CT2HSO,IN61CB,N,,,06/07
CT2IET,IN60GD,N,,FT100D,11/02
CT2IWG,IN51OJ,N,,144: IC706 100W 9el,02/05
CT2JIB,IM58MO,Y,,IC-910H + IC-706MKIIG + IC-746,05/08
CT4KQ,IN60BP,N,,,03/98
CU2E,HM77UD,Y,,144:  1KW  28 Xpol,06/07
CU2IJ,HM77ES,N,,,04/04
CU3EQ,HM68KP,N,,KENWOOD TS 2000 - TS 570,04/08
CX5BBF,GF15WM,Y,,432: 3m dish with 4 dipole,08/07
CX5CJ,GJ15,Y,,144: 4x 17el 1KW,02/02
CX5IC,GF07WQ,Y,,,03/08
CX5UR,GF26TS,N,CX2AAE - CX3UU - CX1JO,KENWOOD TS430 - IC 241 - FT 2500,02/08
CX9BT,GF15WK,N,,,01/03
CY9SS,FN97WE,Y,Expedition,144: 400W single yagi,01/05
DA0BV,JN58VF,N,SpecialCall,,01/94
DA0DD,JO61,Y,SpecialCall,,05/06
DA0HEL,JO34WE,N,EXPEDITION,,08/08
DA0NRW,JO41GV,N,SpecialCall,144: 3CX400A7  4x14el  or 17el,12/96
DA0WAE,JO41GU,N,SpecialCall,,12/04
DA0Y,JN48MB,Y,,,04/09
DA0YFD,JN59MO,Y,,,05/07
DA4RG,JO31FG,N,,,11/95
DB1PB,JO30UE,N,,,12/01
DB2WD,JN39VV,Y,,,04/96
DB3BW,JO42AC,Y,,HF: TS520 - 144/432: FT726r Tube PA 2m 350W 70cm 150W  6m trv8W,06/09
DB3LA,JO31JK,N,,,07/02
DB4ET,JO31,N,,,11/02
DB4LL,JO54SM,N,,144: FT221 20W 4el,08/01
DB4VQ,JN39MF,N,,,01/94
DB5ML,JN58OI,N,,,09/03
DB5WC,JN49EJ,N,,60W 11el Preamp,12/03
DB6BX,JO32OK,N,SilentKey,,11/96
DB6NT,JO50UI,N,,,01/03
DB6RO,JN58QB,N,,,12/03
DB7OB,JO52IJ,N,,144: FT221 100W 11el,08/00
DB8AT,JO51CP,N,,,05/04
DB8WK,JO33XN,N,,144: 200W 2x11El. -  432: 300W 2x23El.,03/06
DB8YL,JO41EV,N,,,12/99
DC0KK,JO41KQ,N,,,03/08
DC1ECD,JO31MH,N,,,10/04
DC1MUS,JN69EP,N,,,11/02
DC1MWB,JN58,N,,,04/05
DC2IP,JN49FD,N,,144: IC706 max. 50W 6el,08/08
DC2JR,JO64CA,N,,,11/01
DC2MW,JN58IV,Y,,144: 4x 9el 300W,09/07
DC3VM,JN39KK,N,,,12/99
DC3VW,JN39KJ,N,,,10/04
