239,BY9AA,OM44LL,EME,,144: IC920  2 x 15 XP  350W,03/08
240,C31MS,JN02UN,,Expedition,144: 2Stn a� 800W  2x17el  or 11el,05/97
241,C31RC,JN02SK,EME,Expedition,,01/89
242,C31TLT,JN02TL,EME,Expedition,144:  4x24el  2x4CX250  900W,08/01
243,C56EME,IK13ql,EME,,,
244,C6AIE,FL16IQ,EME,,144: TS2000 250W 13el,03/06
245,C91CF,KG64HB,EME,EXPEDITION,,04/08
246,CN8KD,IM63KX,,,144: 10W  11el,06/03
247,CN8LI,IM63NX,EME,,50: IC746 250W 6el - 144: 2x17elts- 250w- lna- 1/2' lowloss cable- Az+Elevat,10/07
248,CN8ST,IM64NA,EME,QRT (is nw PA....),,06/98
249,CN8TW,IM63EN,EME,,144: 4x 13el,01/06
250,CO2OJ,EL83TD,,,50: 100W 4el - 144: 110W 9el,06/06
251,CQ14HZE,IM57NH,,SpecialCall,,02/04
252,CS0DIZ,IM69,,SpecialCall,,01/89
253,CS1GDX,IM59IB,,SpecialCall,144: IC706MK II G  200W  12el,11/03
254,CS6ARC,IM59RX,,SpecialCall,,11/01
255,CT1ANO,IN51RE,,,144: TS2000 4cx250B 1x16JXX2 SP 2000,06/09
256,CT1BYM,IM58SM,EME,,,05/07
257,CT1DHM,IN61CB,EME,,,04/07
258,CT1DIZ,IM58KP,,,,06/03
259,CT1DMK,IN50QP,EME,,144: 1-5KW  4x11el DL6WU,03/99
260,CT1DNF,IN50QP,,,144: IC821H  200Watts  2x12ele DL6WU Preamp,12/04
261,CT1EKD,IM59IB,EME,,144: IC706 MK II G  400W  4 x 17 el  432: 300W + 10wl Yagi,08/08
262,CT1EWA,IM59NS,EME,,,06/09
263,CT1FAK,IN50QO,EME,,144: FT1000D  FT736R  200W  4x13el DL6WU  MGF1302,05/03
264,CT1FFU,IM59KJ,EME,,,03/05
265,CT1FJC,IM57OC,,,TS-2000 5el yagi 6 metres. 4el yagi on 4metres,03/07
266,CT1FOH,IN50RA,,,50: 6el - 144: 200W 4x 12el MGF1302,04/04
267,CT1HZE,IM57NH,,,,12/05
268,CT1WW,IN61GE,,SilentKey,,11/96
269,CT2FEY,IN61OT,,,,07/07
270,CT2GUR,IM59ML,EME,,IC-910H+ 2x17el+LNA+1KW,06/09
271,CT2HSN,IN61CB,,,,03/07
272,CT2HSO,IN61CB,,,,06/07
273,CT2IET,IN60GD,,,FT100D,11/02
274,CT2IWG,IN51OJ,,,144: IC706 100W 9el,02/05
275,CT2JIB,IM58MO,EME,,IC-910H + IC-706MKIIG + IC-746,05/08
276,CT4KQ,IN60BP,,,,03/98
277,CU2E,HM77UD,EME,,144:  1KW  28 Xpol,06/07
278,CU2IJ,HM77ES,,,,04/04
279,CU3EQ,HM68KP,,,KENWOOD TS 2000 - TS 570,04/08
280,CX5BBF,GF15WM,EME,,432: 3m dish with 4 dipole,08/07
281,CX5CJ,GJ15,EME,,144: 4x 17el 1KW,02/02
282,CX5IC,GF07WQ,EME,,,03/08
283,CX5UR,GF26TS,,CX2AAE - CX3UU - CX1JO,KENWOOD TS430 - IC 241 - FT 2500,02/08
284,CX9BT,GF15WK,,,,01/03
285,CY9SS,FN97WE,EME,Expedition,144: 400W single yagi,01/05
286,DA0BV,JN58VF,,SpecialCall,,01/94
287,DA0DD,JO61,EME,SpecialCall,,05/06
288,DA0HEL,JO34WE,,EXPEDITION,,08/08
289,DA0NRW,JO41GV,,SpecialCall,144: 3CX400A7  4x14el  or 17el,12/96
290,DA0WAE,JO41GU,,SpecialCall,,12/04
291,DA0Y,JN48MB,EME,,,04/09
292,DA0YFD,JN59MO,EME,,,05/07
293,DA4RG,JO31FG,,,,11/95
294,DB1PB,JO30UE,,,,12/01
295,DB2WD,JN39VV,EME,,,04/96
296,DB3BW,JO42AC,EME,,HF: TS520 - 144/432: FT726r Tube PA 2m 350W 70cm 150W  6m trv8W,06/09
297,DB3LA,JO31JK,,,,07/02
298,DB4ET,JO31,,,,11/02
299,DB4LL,JO54SM,,,144: FT221 20W 4el,08/01
300,DB4VQ,JN39MF,,,,01/94
301,DB5ML,JN58OI,,,,09/03
302,DB5WC,JN49EJ,,,60W 11el Preamp,12/03
303,DB6BX,JO32OK,,SilentKey,,11/96
304,DB6NT,JO50UI,,,,01/03
305,DB6RO,JN58QB,,,,12/03
306,DB7OB,JO52IJ,,,144: FT221 100W 11el,08/00
307,DB8AT,JO51CP,,,,05/04
308,DB8WK,JO33XN,,,144: 200W 2x11El. -  432: 300W 2x23El.,03/06
309,DB8YL,JO41EV,,,,12/99
310,DC0KK,JO41KQ,,,,03/08
311,DC1ECD,JO31MH,,,,10/04
312,DC1MUS,JN69EP,,,,11/02
313,DC1MWB,JN58,,,,04/05
314,DC2IP,JN49FD,,,144: IC706 max. 50W 6el,08/08
315,DC2JR,JO64CA,,,,11/01
316,DC2MW,JN58IV,EME,,144: 4x 9el 300W,09/07
317,DC3VM,JN39KK,,,,12/99
318,DC3VW,JN39KJ,,,,10/04
319,DC3ZR,JN68CV,,,,01/03
320,DC5JQ,JO31BC,,,,10/07
321,DC6DY,JO53GO,,,,06/09
322,DC6GF,JN48OC,,,IC 706 MKIIG PreAmp,01/05
323,DC6KI,JO30IL,,NOT qrv MS nw (01/01),,04/05
324,DC6RN,JN59WK,,,144: 12el  PA GS35,04/09
325,DC7OH,JO62OK,,,,01/01
326,DC7UT,JO31NJ,EME,,144: 4x17el  500W,03/01
327,DC9UP,JN39QN,EME,F5VKQ,,01/09
328,DC9YC,JO31QK,,,,10/07
329,DD0NM,JN59NI,,,144: IC 910 100W 2x11 el Yagi,08/07
330,DD0VF,JO60UX,EME,,144: 550W-CW 250W-digi 4x8el MGF1303 (JO61WA: 100W 5el BF998),06/09
331,DD1JN,JO50DJ,,,144: 600W 11el Preamp - 432: 21el 200W VV - 1296: 55el 10W VV - 2320: 80el 1W,04/02
332,DD1WKS,JN39KK,,,,01/01
333,DD2KR,JO30FQ,EME,,FT1000 144:  LT2S 3CX800A7 Preamp  17ele M2  432: LT70S 3CX800A7 Preamp 2x39el M2,10/07
334,DD2UJ,JO61WD,,,,10/04
335,DD3DX,JO31TN,,,,07/01
336,DD3SP,JO72EN,,,50: 5el - 144:  FT847  4CX250  17el F9FT MGF1302 - 432: 21el,02/04
337,DD5DX,JO61CA,,,144: 180Watt 2x17el Preamp,07/04
338,DD6UBS,JO41AH,,,144: TM255 MGF1302 180W 11El F9FT - 432: TM455 MGF1302 40W,10/04
339,DD7PC,JN49AX,EME,,,05/07
340,DD9SQ,JN59BH,,,,07/98
341,DF0AK,JN49EA,,,,07/97
342,DF0AW,JO31MG,EME,,FT736 144: 800W 2x 11el  432: 200W 4x 23el  1296: 23el 10W,09/07
343,DF0BV,JN68AH,EME,,144: 2x17el 750W,04/05
344,DF0CI,JO51CH,,,,11/03
345,DF0CK,JO50AN,EME,,144: 500Watt 2x11el,09/05
346,DF0EME,JO40,,,,01/03
347,DF0LBO,JO53CT,,,,05/02
348,DF0MMO,JN49JX,,,144: 200W 11el,11/00
349,DF0MTL,JO61JF,,,,07/05
350,DF0SAX,JO61VC,,,144: 20W 13el,12/98
351,DF0SL,JN59OI,,,,08/08
352,DF0WD,JO42FD,,,144: 8874 250W 2x9el - 432: 3CX800 4x18el,02/08
353,DF0WF,JO62VT,,,,01/05
354,DF1AN,JO63SX,,ex DL1KUS,,01/00
355,DF1BN,JO31GD,,,144: IC821 HLV-300  300Watts  MGF 1302  2x17ele F9FT,07/01
356,DF1CF,JN57FP,EME,,144: CF300  3CX800  4x13el (3lb),12/04
357,DF1GL,JN47CO,,,144: IC 746  300W  8el,04/07
358,DF1HF,JO43WJ,EME,,144: 6el  432: 19el   1296: 44el,09/07
359,DF1IAZ,JN49LD,,,50: 3 el -  144: 150W  2x10el  MGF1302,07/01
360,DF1OC,JO52,,,,01/93
361,DF1SO,JN48PO,,,144: homemade 200W,08/98
362,DF1VB,JO31SK,EME,,,03/07
363,DF1ZE,JN49,EME,,,01/94
364,DF2CQ,JN58SE,,,,10/04
365,DF2NU,JN58XA,,DL0UMK,TS-790S + PA + Preamp + 11 ele yagi,10/07
366,DF2OOO,JO41RF,,SpecialCall,IC820H 144: 250W  2x11el- 432: 130W 2x23el Preamp,09/99
367,DF2UJ,JO61QH,,,,02/02
368,DF2ZC,JO30RN,EME,,144: TS2000 LT2S 2xGU74b 750W MGF1302 4x2M18XXX (21 dbd),04/07
369,DF3FJ,JO40CC,,,,01/93
370,DF3RU,JN59UL,EME,,,03/05
371,DF4IP,JN49HE,,,,08/08
372,DF4MAA,JN58WH,EME,,,05/97
373,DF4UE,JN48RR,,,432:  4x27el  600W,09/03
374,DF4WC,JN49KV,,DB4PN,TR9000-IC490,09/08
375,DF5BN,JN49GU,,,,08/99
376,DF5DE,JO40CX,,,,12/06
377,DF5HC,JN49HT,EME,,50: 4 Ele  - 144: 4x8Ele  500W - 432: 4x17Ele  500W,05/09
378,DF5JJ,JO43XO,,ex EA6/DF5JJ + ex EA6ADW,432: 700W 19el - 1296: 500W  26el - 10368: 20W  dish,03/04
379,DF5KB,JO72CM,,ex DD6BKR,FT847 - 144Mhz 750 wtts  14 el Longyagi -  50Mhz  7el  by DK7ZB,08/06
380,DF5NK,JN59PM,,DB6NJ,144: 11el 600W alt. 15el 750W(JN59OP)  432: 19el 500W,06/09
381,DF5NK/P,JN59OP,,DB6NJ,144: 11el 600W alt. 15el 750W(JN59OP)  432: 19el 500W,06/09
382,DF6HT,JO64FG,,,,12/06
383,DF6LO,JO52CE,,,,01/93
384,DF6MU,JN58WF,,DL1ABD,Elecraft k2 + XV144 + THP PA 160W,09/07
385,DF6NA,JN49XS,,,432: 2x3CX800 4x30el,10/01
386,DF6OB,JO42,,NOT qrv MS nw (01/01),,07/97
387,DF6VW,JO42KH,,,,07/97
388,DF6YL,JO31WS,EME,,,02/08
389,DF7AP,JO51FI,,,,04/09
390,DF7DJ,JO31UO,,,,06/97
391,DF7IF,JN48DN,,,,01/03
392,DF7IT,JN49IN,,,,10/04
393,DF7KF,JO30GU,EME,,144:  16x18el  EME Pwr,12/04
